N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
34,삼성화재,"204,500","2,000",-0.97%,500,"96,882","47,375",45.72,"76,775",15.63,4.85,
35,한온시스템,"15,300",0,0.00%,100,"81,671","533,800",21.04,"645,331",58.17,14.98,
36,S-Oil,"71,200","4,700",+7.07%,"2,500","80,159","112,583",74.33,"1,561,160",-9.55,1.01,
37,한화솔루션,"49,450",800,+1.64%,"5,000","79,053","159,864",19.13,"3,306,592",-87.99,-4.02,
38,고려아연,"394,000",500,+0.13%,"5,000","74,348","18,870",23.93,"34,935",13.52,9.76,
39,한국조선해양,"104,000","2,000",+1.96%,"5,000","73,604","70,773",15.93,"320,569",344.37,1.40,
40,우리금융지주,"10,100",50,+0.50%,"5,000","72,949","722,268",25.70,"762,960",5.33,N/A,
41,현대글로비스,"190,500","1,500",+0.79%,500,"71,438","37,500",36.10,"103,666",10.71,11.25,
42,기업은행,"9,540",30,+0.32%,"5,000","70,469","738,664",10.87,"1,264,526",4.57,7.36,
43,미래에셋대우,"9,720",10,-0.10%,"5,000","62,725","645,316",14.56,"1,375,472",11.57,7.56,
44,빅히트,"176,000","4,000",-2.22%,500,"62,698","35,624",3.51,"188,539",N/A,56.47,
45,KT,"23,750",100,+0.42%,"5,000","62,014","261,112",43.63,"431,355",10.12,4.61,
46,신풍제약,"116,500","3,000",-2.51%,500,"61,728","52,985",10.22,"642,794","3,530.30",0.80,
47,KODEX 200,"35,110",300,+0.86%,0,"60,933","173,550",12.20,"5,293,349",N/A,N/A,
48,LG디스플레이,"15,550",150,+0.97%,"5,000","55,640","357,816",22.82,"1,547,675",-2.26,-22.35,
49,CJ제일제당,"367,000","3,500",-0.94%,"5,000","55,249","15,054",23.58,"35,645",7.62,3.16,
50,코웨이,"71,800",500,-0.69%,500,"52,988","73,800",60.87,"116,066",14.84,30.74,
51,SK케미칼,"431,000","18,000",-4.01%,"5,000","50,605","11,741",14.79,"479,470",22.17,1.51,
52,LG유플러스,"11,550",100,+0.87%,"5,000","50,429","436,611",31.03,"1,448,578",6.36,6.30,
53,강원랜드,"23,050",250,+1.10%,500,"49,313","213,940",23.47,"389,710",-242.63,9.16,
54,포스코케미칼,"80,700",100,+0.12%,500,"49,217","60,988",7.25,"170,853",172.07,11.57,
55,오리온,"119,500","1,500",-1.24%,500,"47,246","39,536",42.31,"62,784",17.26,14.24,
56,아모레G,"55,600",400,+0.72%,500,"45,847","82,458",19.84,"142,859",75.85,4.12,
57,한진칼,"76,300",200,+0.26%,"2,500","45,147","59,171",17.18,"220,767",-11.75,-17.56,
58,현대중공업지주,"283,500","17,000",+6.38%,"5,000","44,789","15,799",17.91,"55,673",-19.99,2.20,
59,현대제철,"33,400",250,+0.75%,"5,000","44,571","133,446",19.33,"945,799",-16.57,0.10,
60,한국타이어앤테크놀로지,"35,950","1,100",-2.97%,500,"44,533","123,875",38.04,"176,613",15.03,6.03,
61,녹십자,"377,000","5,500",-1.44%,"5,000","44,058","11,687",19.33,"203,602",101.13,-0.35,
62,삼성중공업,"6,980",50,+0.72%,"5,000","43,974","630,000",15.13,"40,650,950",-3.52,-21.88,
63,유한양행,"65,500",600,-0.91%,"1,000","43,791","66,857",20.99,"244,499",24.13,2.43,
64,이마트,"157,000","2,500",+1.62%,"5,000","43,765","27,876",31.84,"157,116",7.88,2.76,
65,대한항공,"25,100",900,+3.72%,"5,000","43,727","174,210",12.02,"4,110,882",-3.74,-22.09,
66,금호석유,"141,000","8,000",-5.37%,"5,000","42,959","30,468",27.77,"375,713",12.06,11.84,
67,HMM,"13,100",300,-2.24%,"5,000","42,801","326,726",6.04,"4,102,164",-42.26,-55.46,
68,한국금융지주,"76,000",100,-0.13%,"5,000","42,352","55,726",30.64,"168,193",7.19,18.14,
69,삼성카드,"34,600",300,-0.86%,"5,000","40,087","115,859",10.07,"54,010",10.70,5.04,
70,현대건설,"34,750",800,+2.36%,"5,000","38,696","111,356",20.02,"761,835",11.50,6.30,
